#   Step          Temp          Press          PotEng         KinEng         TotEng         E_pair    
     79000   1.0072814      1.040616       15.943165      1.510771       17.453936     -4.6568975    
     80000   1.0040601      1.0712331      15.941651      1.5059396      17.44759      -4.6492998    
     81000   0.99422405     1.090311       15.945111      1.4911869      17.436298     -4.6520823    
     82000   0.99320493     1.1507625      15.938569      1.4896584      17.428228     -4.6599978    
     83000   0.99692353     0.90619042     15.924443      1.4952358      17.419678     -4.6699301    
     84000   0.99982874     0.9166198      15.917802      1.4995931      17.417395     -4.6848688    
     85000   0.99010632     1.077761       15.923228      1.485011       17.408239     -4.6631606    
     86000   0.99550978     0.92357233     15.909586      1.4931153      17.402702     -4.6901544    
     87000   0.98580237     0.84176186     15.917269      1.4785557      17.395825     -4.6765479    
     88000   0.98648483     0.96098709     15.910665      1.4795793      17.390244     -4.6770915    
     89000   0.98331313     0.95227267     15.910927      1.4748222      17.385749     -4.6763871    
     90000   0.9808482      0.7945741      15.911568      1.4711252      17.382693     -4.6864002    
     91000   0.98199111     1.0002886      15.907743      1.4728394      17.380583     -4.692254     
     92000   0.97853986     0.98669827     15.910028      1.467663       17.377691     -4.688155     
     93000   0.98448929     0.89145072     15.897909      1.4765863      17.374495     -4.6964564    
     94000   1.0003584      0.90048812     15.872503      1.5003876      17.372891     -4.7064117    
     95000   0.98578771     0.73533543     15.890534      1.4785337      17.369067     -4.6949924    
     96000   0.97383945     0.73560225     15.9048        1.4606131      17.365413     -4.6796122    
     97000   0.98577088     0.88114763     15.888494      1.4785084      17.367002     -4.7063958    
     98000   0.98616409     1.0169728      15.889662      1.4790982      17.36876      -4.6940159    
     99000   0.97642673     0.9614258      15.902216      1.4644936      17.36671      -4.6891472    
    100000   0.97519265     0.97594533     15.905334      1.4626427      17.367977     -4.6931375    
    101000   0.98425437     1.187079       15.896307      1.4762339      17.372541     -4.694831     
    102000   0.98563263     0.94209371     15.892849      1.4783011      17.37115      -4.7001393    
    103000   0.98381642     1.1864917      15.90083       1.4755771      17.376407     -4.698293     
    104000   0.99493502     0.99936423     15.886978      1.4922533      17.379231     -4.6973301    
    105000   0.98244547     0.98232869     15.905623      1.4735208      17.379144     -4.682894     
    106000   0.97962213     0.97433506     15.910837      1.4692863      17.380123     -4.6833655    
    107000   0.99104976     1.0717248      15.900119      1.486426       17.386545     -4.6844246    
    108000   0.98226401     0.96847596     15.916605      1.4732487      17.389854     -4.6825143    
    109000   0.9828642      0.95854687     15.918152      1.4741489      17.3923       -4.6803295    
    110000   0.99367759     0.8608911      15.908196      1.4903673      17.398563     -4.691519     
    111000   0.98208207     1.0289544      15.931667      1.4729758      17.404643     -4.6827314    
    112000   0.99287359     1.1390851      15.922354      1.4891615      17.411515     -4.6831938    
    113000   0.99125976     1.0268295      15.927149      1.4867409      17.41389      -4.6769126    
    114000   0.99373466     0.89686262     15.926278      1.4904529      17.416731     -4.666411     
    115000   1.0008343      0.87201837     15.922891      1.5011014      17.423993     -4.6723221    
    116000   0.9913159      1.1882093      15.942281      1.4868252      17.429106     -4.6503623    
    117000   0.99935945     0.83796694     15.935042      1.4988893      17.433931     -4.66105      
    118000   0.99997139     1.0318715      15.939188      1.4998071      17.438995     -4.6664203    
    119000   0.9979927      1.1423216      15.950119      1.4968394      17.446959     -4.6583657    
    120000   1.0133041      1.0358375      15.933063      1.5198042      17.452867     -4.6687271    
    121000   1.0051326      0.87890375     15.946345      1.5075482      17.453893     -4.6603057    
    122000   1.0092585      1.2064363      15.944606      1.5137364      17.458343     -4.6614915    
    123000   1.0132809      1.107602       15.943224      1.5197694      17.462993     -4.6567966    
    124000   1.0043311      1.0496044      15.957119      1.506346       17.463465     -4.6398034    
    125000   1.0179523      1.0784826      15.943364      1.5267758      17.47014      -4.6533354    
    126000   1.0147897      0.9712502      15.950418      1.5220323      17.47245      -4.6610443    
    127000   1.0175555      1.1450769      15.950757      1.5261806      17.476938     -4.6443078    
    128000   1.0062596      0.95640673     15.968367      1.5092384      17.477605     -4.6422166    
    129000   1.0045882      0.80088339     15.97102       1.5067316      17.477752     -4.6217527    
    130000   1.0026061      1.1339191      15.978719      1.5037587      17.482478     -4.6303947    
    131000   1.0093571      1.0719827      15.970937      1.5138843      17.484822     -4.6296       
    132000   1.0184479      0.84739404     15.956344      1.5275191      17.483863     -4.6487106    
    133000   1.0119175      0.97356674     15.963554      1.5177245      17.481279     -4.6341432    
    134000   1.0217692      0.93590988     15.953846      1.5325006      17.486347     -4.6480255    
    135000   1.0239338      0.98443525     15.950358      1.5357471      17.486105     -4.6394506    
    136000   1.0227674      1.1449169      15.950969      1.5339977      17.484967     -4.6373681    
    137000   1.0138082      0.96780505     15.961413      1.5205602      17.481973     -4.6351216    
    138000   1.0152797      1.0207656      15.958412      1.5227673      17.481179     -4.6181667    
    139000   1.0179936      1.037358       15.955359      1.5268377      17.482197     -4.6469313    
    140000   1.0145138      1.0460307      15.956785      1.5216186      17.478403     -4.6300672    
    141000   1.0096837      0.88898913     15.959492      1.5143741      17.473866     -4.6331673    
    142000   1.0075982      0.86599305     15.958809      1.5112461      17.470055     -4.6369639    
    143000   1.0007078      0.84037419     15.96451       1.5009116      17.465422     -4.6316279    
    144000   1.008935       1.0038668      15.951733      1.5132512      17.464985     -4.6401311    
