#   Step          Temp          Press          PotEng         KinEng         TotEng         E_pair    
     77000   1.010143      -0.0020589437   17.03678       1.515063       18.551843     -3.5747736    
     78000   1.0162319     -0.013340947    17.020017      1.5241954      18.544212     -3.588981     
     79000   1.0039608      0.031009279    17.031021      1.5057906      18.536812     -3.5854662    
     80000   0.99629591    -0.0057558224   17.035433      1.4942944      18.529727     -3.590173     
     81000   0.99913075    -0.011437631    17.024448      1.4985463      18.522994     -3.5870299    
     82000   1.0069126     -0.013153829    17.006292      1.5102179      18.51651      -3.6003529    
     83000   0.9938486     -0.0096269933   17.019587      1.4906238      18.510211     -3.5912673    
     84000   1.0032561      0.0015633198   16.999417      1.5047336      18.504151     -3.6098141    
     85000   1.004159      -0.0036809086   16.992155      1.5060879      18.498243     -3.6102789    
     86000   1.0026814     -0.019059869    16.988677      1.5038717      18.492549     -3.6165449    
     87000   0.99084424     0.0010918411   17.000956      1.4861177      18.487074     -3.5960401    
     88000   0.99886794     0.0033560998   16.983829      1.4981521      18.481981     -3.6140369    
     89000   0.99161602     0.0015146391   16.989863      1.4872753      18.477138     -3.6024033    
     90000   0.99549591    -0.0073389983   16.979434      1.4930945      18.472529     -3.6263518    
     91000   1.0136713      0.0032350435   16.947676      1.5203548      18.468031     -3.6424014    
     92000   0.98648245     0.0038654099   16.984114      1.4795757      18.463689     -3.619833     
     93000   0.99384166    -0.0074251422   16.969099      1.4906134      18.459713     -3.632337     
     94000   0.9840282      0.0048916696   16.980221      1.4758947      18.456115     -3.6214307    
     95000   0.98511538    -0.0041764853   16.975363      1.4775253      18.452888     -3.6260649    
     96000   1.0006751     -0.006803746    16.949035      1.5008625      18.449897     -3.6546595    
     97000   0.99621169     0.0030805327   16.952838      1.4941681      18.447006     -3.6634283    
     98000   0.97714549     0.00019794647  16.978647      1.4655717      18.444218     -3.6316274    
     99000   0.98945832     0.0079411932   16.957665      1.4840391      18.441704     -3.6394544    
    100000   0.99417982    -0.001902722    16.948269      1.4911206      18.43939      -3.6569023    
    101000   0.98773817    -0.0047091856   16.95583       1.4814591      18.437289     -3.6548904    
    102000   0.99419297    -0.015471659    16.944295      1.4911403      18.435435     -3.6560636    
    103000   0.99113951     0.0037325419   16.947279      1.4865606      18.43384      -3.6612103    
    104000   1.0015656      0.0030213135   16.930202      1.5021982      18.4324       -3.6608108    
    105000   0.98570107    -0.0075220972   16.952671      1.4784037      18.431075     -3.6607764    
    106000   0.99712741    -0.014941801    16.934374      1.4955415      18.429916     -3.6631023    
    107000   0.99208131     0.012278632    16.940982      1.4879732      18.428955     -3.6652875    
    108000   0.99703771    -8.59642e-05    16.932597      1.495407       18.428004     -3.6894269    
    109000   0.99581969    -0.015042217    16.933375      1.4935802      18.426956     -3.6708143    
    110000   0.99146775     0.0024326156   16.938955      1.4870529      18.426008     -3.6642039    
    111000   0.99901726     0.001890517    16.926836      1.498376       18.425212     -3.6741507    
    112000   0.9931959     -0.011156968    16.934816      1.4896449      18.424461     -3.6702006    
    113000   0.98851993    -0.0066793358   16.941226      1.4826316      18.423857     -3.6557614    
    114000   1.0014037     -0.0003146385   16.921488      1.5019553      18.423443     -3.6746306    
    115000   1.0004075      0.014176789    16.922618      1.5004612      18.42308      -3.6893865    
    116000   0.99833752     0.0092471157   16.925375      1.4973565      18.422732     -3.6819811    
    117000   0.99692651    -0.0017327366   16.9272        1.4952402      18.42244      -3.6739507    
    118000   0.99516595     0.0026182009   16.929634      1.4925996      18.422234     -3.6705299    
    119000   1.0087357      0.0088550443   16.909169      1.5129523      18.422121     -3.6935117    
    120000   1.0192512     -0.011757633    16.893196      1.5287239      18.42192      -3.7120595    
    121000   0.99985858     0.010570016    16.921865      1.4996379      18.421503     -3.6957916    
    122000   1.0131865     -0.0058829879   16.9013        1.5196278      18.420928     -3.7006782    
    123000   0.99619035     0.00078533235  16.926075      1.4941361      18.420211     -3.6884319    
    124000   0.9847488      0.0043146473   16.942604      1.4769755      18.41958      -3.6732671    
    125000   0.99970219    -0.010644502    16.91973       1.4994033      18.419133     -3.6887981    
    126000   1.0007246      0.010349291    16.917752      1.5009369      18.418689     -3.6974631    
    127000   0.9904823      0.0022921454   16.932534      1.4855749      18.418109     -3.6738387    
    128000   0.99391877    -0.0044542257   16.926868      1.4907291      18.417597     -3.6754036    
    129000   1.0036014     -0.0013555162   16.911932      1.5052515      18.417183     -3.6894431    
