## Temperature (kT/J)	Energy/N	Cv/N	Acceptancefraction
0.4	-0.987125	0.161406	0.0192271
0.5	-0.964513	0.273829	0.0530304
0.75	-0.870758	0.41836		0.19451
0.9	-0.804467	0.427986	0.294062
1.0	-0.76137	0.421782	0.357807
1.2	-0.682599	0.373176	0.476698
1.5	-0.583113	0.291143	0.625473
2.0	-0.463294	0.195545	0.806783
2.5	-0.380014	0.135177	0.929868
