Initialized 500 particles randomly without overlaps.
Particle Positions:
Particle 0: 2.10412, 7.94847, 3.63119
Particle 1: 4.3518, 3.67774, 7.98601
Particle 2: 5.93806, 6.49993, 0.0461864
Particle 3: 5.45031, 0.700391, 6.14817
Particle 4: 3.93596, 6.79464, 4.70321
Particle 5: 3.81208, 4.94554, 5.89324
Particle 6: 6.37055, 2.56611, 5.51347
Particle 7: 4.97318, 7.91252, 6.73614
Particle 8: 1.8551, 4.65536, 3.51395
Particle 9: 2.12664, 7.19583, 7.17189
Particle 10: 6.66889, 7.42982, 1.05602
Particle 11: 8.05104, 0.836363, 4.92422
Particle 12: 0.869354, 1.23546, 2.64228
Particle 13: 0.556009, 4.75225, 0.127409
Particle 14: 3.83047, 2.42549, 4.15663
Particle 15: 6.95564, 5.13202, 7.87545
Particle 16: 6.64816, 6.61588, 6.026
Particle 17: 1.64959, 5.22501, 2.77918
Particle 18: 5.21423, 0.518962, 3.59033
Particle 19: 4.19006, 1.56707, 6.48477
Particle 20: 3.39988, 7.70894, 0.39141
Particle 21: 5.65648, 4.41316, 1.1597
Particle 22: 3.79898, 1.16456, 0.990737
Particle 23: 0.331235, 6.92803, 8.09862
Particle 24: 5.46327, 2.86466, 0.677391
Particle 25: 7.88875, 3.20921, 3.71214
Particle 26: 6.28462, 5.40321, 2.44778
Particle 27: 7.16039, 5.59598, 0.875946
Particle 28: 0.540651, 6.21435, 7.44636
Particle 29: 7.19358, 7.94958, 5.98787
Particle 30: 6.68252, 0.661831, 1.95793
Particle 31: 2.87569, 7.72213, 2.86219
Particle 32: 6.50887, 1.4886, 0.298667
Particle 33: 7.80083, 1.60999, 4.71968
Particle 34: 3.28383, 5.93262, 3.83155
Particle 35: 1.72696, 1.42476, 6.58828
Particle 36: 4.54376, 4.34745, 6.25702
Particle 37: 1.91973, 4.74849, 4.32165
Particle 38: 3.92538, 3.97485, 5.38126
Particle 39: 4.1958, 6.20698, 2.29809
Particle 40: 3.36237, 3.97095, 3.32451
Particle 41: 2.87116, 0.810092, 6.2337
Particle 42: 6.95883, 4.31041, 7.94484
Particle 43: 7.19379, 0.0780383, 8.076
Particle 44: 0.398554, 1.70976, 3.42783
Particle 45: 0.799591, 7.57109, 2.84289
Particle 46: 5.45858, 4.48792, 7.752
Particle 47: 1.20952, 0.407566, 4.6638
Particle 48: 2.31828, 3.76558, 6.91857
Particle 49: 5.09162, 1.77928, 2.5588
Particle 50: 7.43879, 1.50412, 7.90765
Particle 51: 0.859253, 1.64812, 6.64647
Particle 52: 5.65099, 3.14404, 7.67268
Particle 53: 5.59285, 3.93394, 3.00303
Particle 54: 7.78268, 0.828678, 6.01656
Particle 55: 4.0506, 1.29668, 5.649
Particle 56: 0.122543, 0.958094, 4.1229
Particle 57: 6.31817, 4.7031, 6.41538
Particle 58: 3.40595, 5.01546, 6.89624
Particle 59: 3.16593, 6.58898, 7.67746
Particle 60: 1.91003, 7.1363, 0.316712
Particle 61: 7.75314, 0.137826, 2.88573
Particle 62: 4.4008, 5.07915, 0.907479
Particle 63: 4.64788, 2.87571, 1.71968
Particle 64: 2.27544, 5.44671, 2.157
Particle 65: 3.68503, 5.66086, 6.32639
Particle 66: 5.49306, 6.68205, 2.68335
Particle 67: 4.2255, 7.16291, 3.51227
Particle 68: 1.51078, 1.28292, 3.27225
Particle 69: 6.84705, 6.61719, 6.85778
Particle 70: 6.4521, 2.51029, 7.32463
Particle 71: 0.893665, 0.527223, 1.13299
Particle 72: 0.644289, 6.06387, 5.66796
Particle 73: 0.377623, 3.25797, 2.94102
Particle 74: 3.03434, 1.34343, 7.72548
Particle 75: 3.90274, 6.29118, 3.08899
Particle 76: 5.50555, 4.92895, 3.62023
Particle 77: 0.204167, 4.03358, 2.24727
Particle 78: 0.252717, 7.52955, 4.57284
Particle 79: 7.37088, 0.301477, 4.32346
Particle 80: 0.600631, 4.7905, 3.51891
Particle 81: 8.20476, 0.154009, 0.950144
Particle 82: 4.94419, 4.75378, 5.26741
Particle 83: 1.74666, 4.41603, 7.59958
Particle 84: 2.43711, 0.768867, 8.06048
Particle 85: 2.23892, 0.551507, 5.39892
Particle 86: 5.66842, 5.25259, 6.24804
Particle 87: 7.8366, 3.1684, 2.57259
Particle 88: 0.229395, 4.10146, 4.51665
Particle 89: 1.1891, 7.2922, 1.25608
Particle 90: 4.1093, 7.37483, 6.12686
Particle 91: 1.6948, 2.58179, 2.68617
Particle 92: 4.47069, 4.13073, 2.5879
Particle 93: 4.02272, 2.04009, 0.109867
Particle 94: 3.76435, 6.52388, 0.996342
Particle 95: 0.747075, 4.878, 5.44299
Particle 96: 6.38529, 0.655821, 7.43922
Particle 97: 4.7371, 0.74416, 1.68104
Particle 98: 2.66168, 3.03284, 7.97336
Particle 99: 7.6075, 5.51087, 6.85144
Particle 100: 5.91138, 1.71279, 2.65416
Particle 101: 2.12213, 0.379106, 7.10981
Particle 102: 1.21987, 3.15612, 4.02936
Particle 103: 2.40015, 7.37342, 1.2591
Particle 104: 6.56401, 0.834464, 4.29735
Particle 105: 4.68883, 0.587828, 0.814452
Particle 106: 6.13044, 5.70571, 4.74387
Particle 107: 7.60043, 7.07427, 2.04854
Particle 108: 2.33237, 3.79989, 2.66104
Particle 109: 5.50853, 2.6897, 4.96965
Particle 110: 5.86759, 6.88034, 5.37247
Particle 111: 3.31229, 1.51895, 5.94308
Particle 112: 4.15887, 7.96014, 8.1
Particle 113: 2.73658, 2.84834, 4.17613
Particle 114: 2.81437, 1.49499, 0.599415
Particle 115: 3.07423, 1.37499, 4.30829
Particle 116: 2.80912, 2.25375, 5.91157
Particle 117: 3.01544, 2.59571, 1.11905
Particle 118: 7.29158, 2.37828, 5.12446
Particle 119: 3.43195, 1.12709, 2.86827
Particle 120: 2.08924, 1.86464, 7.92974
Particle 121: 1.60847, 7.1422, 2.51886
Particle 122: 5.40509, 3.38586, 6.59551
Particle 123: 1.68781, 7.70241, 5.63061
