0 -208 -24
1 -180 -42
2 -204 -30
3 -216 12
4 -204 -34
5 -188 16
6 -196 50
7 -160 44
8 -172 48
9 -176 66
10 -200 96
11 -160 22
12 -176 42
13 -184 -14
14 -192 -62
15 -200 -48
16 -192 -20
17 -208 -10
18 -204 -44
19 -164 24
20 -176 -6
21 -220 -10
22 -228 -6
23 -192 -10
24 -156 -44
25 -200 -24
26 -208 8
27 -192 14
28 -152 40
29 -196 64
30 -180 12
31 -200 10
32 -208 20
33 -176 4
34 -148 14
35 -196 4
36 -212 -10
37 -176 20
38 -224 32
39 -188 -52
40 -168 -30
41 -168 -14
42 -216 -56
43 -172 -38
44 -204 10
45 -196 28
46 -184 28
47 -196 66
48 -200 34
49 -208 38
50 -188 36
51 -208 -52
52 -184 -16
53 -184 -18
54 -188 -12
55 -216 -28
56 -216 -36
57 -224 -12
58 -180 24
59 -212 52
60 -156 8
61 -192 60
62 -208 36
63 -160 50
64 -168 32
65 -188 38
66 -200 6
67 -176 -20
68 -188 14
69 -164 -2
70 -156 12
71 -192 -24
72 -188 -6
73 -192 -28
74 -228 22
75 -224 50
76 -200 58
77 -200 22
78 -180 26
79 -172 -18
80 -208 -46
81 -176 -10
82 -176 8
83 -200 -10
84 -192 -12
85 -196 36
86 -176 18
87 -180 -4
88 -216 -22
89 -204 -4
90 -224 26
91 -216 -16
92 -188 -20
93 -200 -2
94 -236 2
95 -192 -8
96 -184 26
97 -220 -6
98 -156 -16
99 -196 -24
100 -176 6
101 -156 -22
102 -180 -28
103 -204 -22
104 -184 -28
105 -208 32
106 -168 16
107 -188 0
108 -192 4
109 -176 -2
110 -176 -24
111 -176 -16
112 -216 -40
113 -216 -8
114 -192 44
115 -212 18
116 -176 14
117 -172 -4
118 -192 44
119 -184 28
120 -216 16
121 -192 -12
122 -176 -26
123 -208 16
124 -200 98
125 -212 110
126 -184 46
127 -192 40
128 -208 14
129 -176 -24
130 -232 -24
131 -232 -12
132 -208 -38
133 -180 -32
134 -192 -2
135 -160 4
136 -160 -28
137 -172 -36
138 -176 -10
139 -140 -10
140 -196 24
141 -232 -40
142 -244 -66
143 -232 -6
144 -204 -8
145 -220 -42
146 -168 -6
147 -224 -16
148 -208 -20
149 -176 18
150 -184 28
151 -176 22
152 -156 -18
153 -204 -16
154 -220 8
155 -188 32
156 -196 20
157 -220 -22
158 -168 -12
159 -168 -22
160 -216 -22
161 -248 40
162 -208 30
163 -188 -46
164 -196 -62
165 -204 -54
166 -160 -22
167 -156 -12
168 -212 -60
169 -196 -22
170 -184 8
171 -180 28
172 -200 -24
173 -196 -24
174 -188 6
175 -188 -24
176 -180 26
177 -188 22
178 -216 24
179 -216 -8
180 -200 -22
181 -176 -44
182 -176 -16
183 -196 50
184 -188 20
185 -184 56
186 -180 48
187 -240 22
188 -200 10
189 -188 12
190 -180 4
191 -196 -6
192 -188 -4
193 -192 -44
194 -164 -28
195 -176 -18
196 -212 6
197 -200 -14
198 -200 18
199 -176 24
200 -172 24
201 -196 20
202 -200 -18
203 -188 -42
204 -168 54
205 -180 -4
206 -200 -36
207 -176 36
208 -172 36
209 -176 46
210 -212 16
211 -188 -26
212 -176 10
213 -232 -10
214 -200 -14
215 -232 -16
216 -196 -8
217 -192 8
218 -212 14
219 -236 50
220 -200 -16
221 -204 32
222 -160 2
223 -196 -42
224 -176 -38
225 -176 -42
226 -176 -46
227 -192 -56
228 -200 -52
229 -196 -56
230 -192 -54
